country,age,suicides_per_100k
Korea,75+ years,4294.26
Hungary,75+ years,4247.02
Austria,75+ years,3848.07
Bulgaria,75+ years,3595.58
Singapore,75+ years,3373.53
France,75+ years,3128.56
Russia,75+ years,3026
Cuba,75+ years,2789.04
Lithuania,35-54 years,2696.75
Belgium,75+ years,2693.9
Ukraine,75+ years,2668.48
Slovenia,75+ years,2628.03
Japan,75+ years,2617.73
Croatia,75+ years,2567.3
Uruguay,75+ years,2559.7
Lithuania,55-74 years,2496.04
Lithuania,75+ years,2470.21
Serbia,75+ years,2380.23
Russian Federation,35-54 years,2378.83
Czech Republic,75+ years,2371.91
Russian Federation,55-74 years,2321.51
Hungary,55-74 years,2292.21
Kazakhstan,75+ years,2261.81
Luxembourg,75+ years,2206.52
Latvia,75+ years,2161.59
Estonia,75+ years,2129.22
Russian Federation,25-34 years,2114.97
Hungary,35-54 years,2113.02
Germany,75+ years,2082.8
Ukraine,55-74 years,2081.43
Republic of Korea,55-74 years,2006.38
Kazakhstan,35-54 years,1984.87
Suriname,75+ years,1973.42
Switzerland,75+ years,1952.76
Japan,55-74 years,1936.97
Kazakhstan,55-74 years,1936.14
Ukraine,35-54 years,1933.55
Belarus,75+ years,1904.34
Austria,55-74 years,1904.17
Kazakhstan,25-34 years,1896.83
Belarus,55-74 years,1871.59
Belarus,35-54 years,1860.33
Finland,35-54 years,1858.51
Portugal,75+ years,1792.94
Slovenia,55-74 years,1751.25
Lithuania,25-34 years,1745.96
Latvia,55-74 years,1733.23
Finland,75+ years,1693.06
Belgium,35-54 years,1682.52
Latvia,35-54 years,1663.36
Belgium,55-74 years,1649.54
Finland,55-74 years,1614.24
Japan,35-54 years,1600.46
France,55-74 years,1592.85
Finland,25-34 years,1573.3
France,35-54 years,1548.74
Spain,75+ years,1546.95
Estonia,55-74 years,1541.47
Sweden,75+ years,1533.84
United States,75+ years,1530.37
Estonia,35-54 years,1489.25
Guyana,25-34 years,1486.49
Croatia,55-74 years,1471.47
Argentina,75+ years,1471.3
Guyana,35-54 years,1469.41
Austria,35-54 years,1458.21
Bulgaria,55-74 years,1450.27
Uruguay,55-74 years,1437.69
Cuba,55-74 years,1427.94
Denmark,75+ years,1420.97
Suriname,25-34 years,1409.4
Belarus,25-34 years,1405.27
Ukraine,25-34 years,1398.59
Luxembourg,55-74 years,1389.66
Russian Federation,15-24 years,1368.26
Italy,75+ years,1340.78
Israel,75+ years,1335.9
Suriname,35-54 years,1331.69
Republic of Korea,35-54 years,1311.87
Slovenia,35-54 years,1305.94
Kazakhstan,15-24 years,1304.36
Sri Lanka,75+ years,1260.52
Guyana,55-74 years,1251.63
Suriname,55-74 years,1229.38
Guyana,15-24 years,1224.28
Netherlands,75+ years,1209.09
Czech Republic,55-74 years,1205.41
New Zealand,15-24 years,1189.74
Puerto Rico,75+ years,1188.85
Iceland,55-74 years,1178.23
Sweden,55-74 years,1170.17
Belgium,25-34 years,1168.43
Luxembourg,35-54 years,1163.87
Finland,15-24 years,1154.92
Japan,25-34 years,1146.8
Czech Republic,35-54 years,1141.56
Poland,35-54 years,1134.44
Lithuania,15-24 years,1127.17
Latvia,25-34 years,1124.03
Guyana,75+ years,1123.79
Kyrgyzstan,75+ years,1122.49
Romania,75+ years,1115.78
Mauritius,25-34 years,1113.93
Singapore,55-74 years,1112.41
Sweden,35-54 years,1108.39
Serbia,55-74 years,1102.59
New Zealand,25-34 years,1102.3
Poland,55-74 years,1090.06
Suriname,15-24 years,1088.83
Romania,55-74 years,1074.94
